id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52633885,Vatican Maison,296234794,Vanessa,,I Centro Storico,41.91018,12.44585,Entire home/apt,205,2,20,2022-09-05,1.90,4,343,20,
52733912,Sophisticated rest 80 steps to the Spanish Steps,74437771,Barbara Maria Assunta,,I Centro Storico,41.90779,12.47983,Entire home/apt,128,2,51,2022-09-05,4.72,5,195,51,
52634186,RomAmoR Suite,423329690,Gianluca,,I Centro Storico,41.90697,12.44761,Private room,83,1,1,2022-08-13,1,3,241,1,
52634366,Lovely studio in City Centre (1),200593407,Matias,,I Centro Storico,41.90463,12.47953,Entire home/apt,226,1,24,2022-06-17,2.56,10,325,24,
52848427,"Bilocale nel cuore di Roma,  a due passi da Trevi",427888976,Raffaele,,I Centro Storico,41.89984,12.48323,Entire home/apt,834,2,0,,,2,365,0,
52743082,BePlace Aventino,244552897,Andrea,,I Centro Storico,41.8775,12.48408,Private room,132,1,3,2022-03-06,0.28,1,91,3,9314
52848656,Appartamento su più livelli al Centro di Roma.,427888976,Raffaele,,I Centro Storico,41.899471,12.4841,Entire home/apt,1623,1,0,,,2,64,0,
52849098,Rent rooms saint peter,247999128,Noemi,,I Centro Storico,41.90963,12.4511,Private room,59,1,18,2022-08-27,1.82,8,55,18,
52634418,"Roma Hub One 
nel Cuore di Roma",426074825,Alessandra,,XIII Aurelia,41.90145,12.44065,Entire home/apt,141,1,0,,,2,276,0,
52743899,Apartamento Rione Trastevere XIII for 5 persons,13012838,Paola,,I Centro Storico,41.88724,12.47055,Entire home/apt,171,2,2,2022-04-27,0.41,9,290,2,
52639951,Trastevere Cedro Headquarter,44721817,Francesco,,I Centro Storico,41.890078408095185,12.468293828985503,Entire home/apt,95,3,4,2022-08-30,1.38,1,138,4,
52849407,"Suite and gallery, Monteverde vecchio / Trastevere",427894843,Marcella,,XII Monte Verde,41.87713,12.46443,Private room,69,2,36,2022-09-10,3.83,1,125,36,
